0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,年
単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,単位：m3/s,2023
,1日,2日,3日,4日,5日,6日,7日,8日,9日,10日,11日,12日,13日,14日,15日,16日,17日,18日,19日,20日,21日,22日,23日,24日,25日,26日,27日,28日,29日,30日,31日,2023
1月,32.02,32.02,32.02,31.79,31.40,31.50,31.97,32.20,32.94,32.68,32.62,31.74,32.06,62.59,40.65,38.38,32.55,32.81,32.97,32.32,31.77,32.31,37.23,33.28,31.45,30.91,31.66,31.94,31.43,32.36,32.02,2023
2月,32.26,32.92,33.29,33.10,32.73,32.65,40.43,39.76,36.91,40.58,35.66,34.79,56.81,47.26,44.59,39.79,36.46,38.05,64.24,64.39,51.71,46.79,46.14,43.17,40.66,36.86,35.40,33.96,,,,2023
3月,36.32,38.54,33.16,32.36,31.50,31.53,32.02,32.65,32.65,31.68,32.65,34.23,37.17,33.05,32.60,33.29,33.95,41.78,31.89,32.21,52.48,69.09,52.37,46.41,50.99,73.18,63.13,51.13,44.81,40.94,38.04,2023
4月,35.75,33.64,32.76,35.11,33.68,33.05,63.59,53.34,44.72,41.05,40.09,45.37,40.57,42.31,99.61,96.61,75.12,64.09,59.63,55.93,54.57,49.65,48.16,49.06,50.10,84.41,55.30,51.68,79.24,128.04,,2023
5月,85.50,71.37,63.83,61.43,60.65,102.74,855.10,464.01,181.57,110.68,91.77,78.47,72.94,73.85,62.16,56.01,55.38,53.54,56.90,53.36,47.87,46.90,44.30,42.89,40.88,41.04,39.87,39.03,42.90,84.28,405.57,2023
6月,155.29,139.30,113.55,86.25,74.52,102.41,100.19,158.38,194.83,131.28,84.96,68.54,63.31,55.90,59.40,65.40,58.41,55.07,52.75,48.57,57.01,43.05,34.13,29.92,32.42,46.57,37.31,74.16,123.23,1536.06,,2023
7月,2038.33,626.45,1755.95,525.26,324.36,242.93,354.78,345.04,1064.74,2192.99,569.12,331.98,240.02,189.17,152.88,132.65,114.68,110.15,118.63,113.13,92.41,87.67,72.98,79.96,96.17,87.64,68.05,57.74,50.59,53.31,50.23,2023
8月,46.60,43.24,39.77,38.98,36.46,34.94,40.68,46.25,139.38,181.57,64.51,55.78,44.65,39.35,35.60,35.77,70.19,62.38,47.33,35.87,36.25,33.13,36.21,35.70,51.42,39.61,43.16,40.27,43.38,33.79,40.56,2023
9月,40.30,34.87,31.84,30.10,28.67,29.88,28.95,28.40,27.16,28.63,30.91,32.43,28.35,30.72,29.03,27.01,25.35,24.96,25.33,25.47,27.38,27.43,27.73,26.15,25.55,26.62,25.84,25.05,25.54,25.14,,2023
10月,25.23,24.82,26.21,27.78,28.70,28.01,28.55,31.85,32.23,29.27,27.66,29.54,29.19,28.96,28.89,28.69,28.18,28.70,29.45,31.58,30.02,29.29,29.35,30.75,29.52,28.22,29.07,29.57,30.48,28.94,29.71,2023
11月,29.82,30.42,30.17,30.17,30.17,30.48,29.50,30.55,30.20,30.37,30.35,31.81,31.92,30.91,32.86,32.57,32.89,32.63,32.18,30.89,30.65,32.26,32.76,32.76,32.20,31.97,32.18,33.24,32.49,32.15,,2023
12月,31.92,31.45,32.28,32.94,32.97,32.68,32.47,32.76,32.65,32.78,33.57,33.74,32.76,32.60,32.76,33.08,32.05,32.36,33.18,33.37,33.13,32.31,32.31,32.05,32.42,31.89,31.82,31.68,31.84,32.97,32.71,2023
